term,frequency
China,204
's,109
Wok,81
Asian,62
Express,53
&,50
Garden,48
House,40
Dragon,38
Golden,36
Kitchen,31
New,27
Palace,25
HongKong,24
Noodle,23
Grill,23
Gourmet,21
Bar,19
Super,19
Great,18
Jade,17
King,17
Little,17
Sushi,16
Star,16
Go,15
Shanghai,15
Wong,15
The,15
Chen,14
A,14
Asia,14
Inn,13
Thai,12
Rice,12
Red,12
of,12
Chef,11
Beijing,11
Bowl,11
Grand,11
Lotus,11
Dumpling,11
Buffet,10
and,10
Noodles,9
Hunan,9
Panda,9
Wall,9
Food,9
Fu,9
Big,9
II,8
City,8
Bamboo,8
Best,8
One,8
Chopstix,8
Chop,8
Stix,8
Chang,8
Up,8
Lee,7
Happy,7
Pick,7
Chinese,7
Taste,7
BBQ,7
Pacific,7
Joe,7
Szechuan,7
Seafood,7
Tea,7
Oriental,7
2,7
Jiang,6
Mandarin,6
Orient,6
Tasty,6
Lin,6
Long,6
Canton,6
World,6
Cafe,6
J,6
Yummy,6
Moon,5
On,5
Fortune,5
Lucky,5
South,5
Cook,5
Gate,5
Peking,5
Sum,5
Ming,5
Yen,5
Chinatown,5
Chin,5
Pho,5
Dim,5
-,5
Company,4
Taipei,4
Restaurant,4
Green,4
Bistro,4
Dynasty,4
York,4
Vegas,4
Hibachi,4
Phoenix,4
Town,4
Imperial,4
Diner,4
Ching,4
Hao,4
Roll,4
Chan,4
Royal,4
Wang,4
Good,4
Wah,4
Pan,4
Hot,4
Mr.,4
Ling,4
Mongolian,4
Sesame,4
Diamond,4
To,3
Chens,3
Hing,3
Tang,3
Pong,3
Bangkok,3
Ichiban,3
GoGo,3
Silver,3
In,3
Flo,3
Pearl,3
Louie,3
Kung,3
Harbor,3
Wing,3
Fresh,3
Blossom,3
Pagoda,3
#,3
Rose,3
Magic,3
Szechwan,3
Sizzling,3
Buddha,3
Eastern,3
Court,3
Dong,3
Sichuan,3
Fine,3
Lai,3
Tokyo,3
West,3
Cookie,3
Wa,3
9,3
Fat,3
Taiwan,3
Cherry,3
YC,3
Bobo,3
Fast,3
Wongs,3
Sun,3
Mei,3
Village,3
Heng,3
Place,3
Club,3
Yu,3
QQ,3
Max,3
At,3
1,3
8,3
Rainbow,3
Abacus,3
Tao,3
Jimmy,3
Wan,3
Pot,3
Leng,2
Joy,2
Jin,2
Mr,2
Japanese,2
Ginger,2
Chia,2
Amazing,2
Shun,2
Ocean,2
K,2
AJK,2
Pumi,2
Lao,2
Liang,2
n,2
Street,2
7,2
Island,2
Supreme,2
Empress,2
Empire,2
Las,2
Henry,2
Liu,2
Lim,2
Fun,2
Zen,2
Grace,2
Yan,2
Tango,2
Shavery,2
May,2
International,2
Kwan,2
My,2
Cathay,2
Egg,2
Tong,2
M,2
Four,2
Harvest,2
the,2
Station,2
Silk,2
Me,2
Li,2
Olive,2
Champion,2
An,2
Pei,2
Jing,2
Tai,2
I,2
Krazy,2
3,2
a,2
Manchu,2
Stir,2
Iron,2
Joyful,2
.,2
Chino,2
Eatery,2
Cottage,2
Ping,2
No,2
Kee,2
How,2
Flower,2
Mama,2
Oasis,2
Grille,2
Bandido,2
George,2
Woo,2
Room,2
Jugoo,2
Barbeque,2
Emperor,2
Hawaiian,2
Yong,2
Shangri-La,2
HK,2
Ice,2
Kang,2
Tung,2
Qwik,2
Jumbo,2
Foods,2
Spicy,2
Jasmine,2
Bao,2
Chow,2
East,2
Style,2
Jong,2
Fusion,2
Steak,1
Fai,1
You,1
Chinoise,1
with,1
High,1
Dining,1
Chun,1
Cravings,1
Home,1
U,1
Fushing,1
Arboretum,1
Satay,1
Inchin,1
Hut,1
Fugu,1
Shrimp,1
Simi,1
Ting,1
101,1
Taiyo,1
Basil,1
DumplingHaus,1
Tsing,1
Cyclo,1
Soho,1
Maxim,1
Sing,1
Heaven,1
Hue,1
Poblano,1
Liyuen,1
Way,1
DragonFly,1
house,1
Ruby,1
Sea,1
WAM,1
Deli,1
Bo,1
And,1
Hakkasan,1
Segal,1
Wendy,1
Flaming,1
Mu,1
Loon,1
Choo,1
Yuan,1
Icy,1
Sze,1
Sampan,1
Marcia,1
Winter,1
Mansion,1
Monterey,1
Snoh,1
Kwo,1
North,1
Culture,1
Nee,1
Orchid,1
Desert,1
Park,1
Ohana,1
Auntie,1
Ding,1
Macau,1
Shaanxi,1
Bun,1
Teriyaki,1
Otaku,1
Pub,1
Delight,1
10,1
Lilly,1
401,1
MeKong,1
Chee,1
Meiwei,1
John,1
Chai,1
Koi,1
Him,1
Nothing,1
Thai-Chinese,1
Hula,1
Plaza,1
Yunnan,1
Tomi,1
Kanda,1
Yunan,1
Tian,1
Prime,1
O,1
Grit,1
Ga,1
First,1
Pendas,1
KJ,1
Vid,1
SN,1
B,1
Chinois,1
Suey,1
Fry,1
905,1
Chou,1
View,1
Teriwoki,1
Hoy,1
Hoang,1
Dinghao,1
Gyoza,1
Tip,1
',1
Ho,1
Bakery,1
Bob,1
Pepper,1
Ta,1
Crazy,1
Yang,1
Orchids,1
Kan,1
Chung,1
Mah,1
Yonaka,1
Vietnamese,1
Chopstick,1
Da,1
Sam-Pan,1
Den,1
Wasabi,1
Pantry,1
2000,1
Karaoke,1
Pao,1
Lite,1
Wo,1
C-Fu,1
Veggie,1
Mekong,1
Jl,1
Call,1
July,1
Restaurant-Arrowhead,1
Flamingo,1
Ninja,1
Chandler,1
Baoding,1
Banquet,1
Valley,1
Tom,1
Villages,1
Autumn,1
Pop-Up,1
Sheng,1
888,1
Jo,1
Lobster,1
Sports,1
Jacky,1
Spice,1
Rim,1
Cooks,1
Zaw,1
Sam,1
5,1
Sevens,1
Hyang,1
",",1
Jane,1
Jia,1
Fate,1
Fortunes,1
MB,1
COFCO,1
Corporation,1
Hoso,1
No1,1
Crown,1
Ben,1
iKitchen,1
Wans,1
Tsang,1
Jr,1
Hop,1
Capital,1
Son,1
Amlee,1
Pat,1
Nugget,1
Pink,1
Signature,1
Bai,1
Lychee,1
Chili,1
Chiang,1
Kong,1
Box,1
Ocha,1
Chao,1
Shop,1
Cusine,1
Volcano,1
Yoko,1
Persuasian,1
Ginbu,1
Two,1
Sakina,1
Umami,1
Ring,1
Saute,1
Yum,1
Anna,1
So,1
Shan,1
Banana,1
Ming-Gee,1
Tam,1
Koji,1
Wahsun,1
Original,1
Paradise,1
Lyng,1
Ginseng,1
Tsuki,1
Ann,1
1900,1
Canyon,1
E-Z,1
Chen-Fu,1
Lulu,1
Hope,1
Deer,1
To-Go,1
Fair,1
but,1
Authentic,1
Sticks,1
Peter,1
Jiu,1
Yao,1
Chuan,1
Xo,1
Quick,1
Center,1
Cool,1
Co,1
Nam,1
Zine,1
Delicious,1
Yi,1
Main,1
Zushi,1
Zip,1
Castle,1
Mister,1
Queen,1
Sunshine,1
A8,1
Road,1
BaBa,1
Sunny,1
Carefree,1
Farm,1
Ramen,1
Sons,1
Lunch,1
Number,1
Three,1
Chengdu,1
Dao,1
Snow,1
Shing,1
Sweet,1
Ports,1
Leaf,1
Spot,1
Kim,1
Koishi,1
Works,1
Corner,1
Peking-Express,1
Wonton,1
Jen,1
VIP,1
Yeung,1
Hsin,1
Viet,1
Evo,1
Don,1
Uncle,1
Ka,1
Siu,1
D,1
Chopsticks,1
Tott,1
Fin,1
Lius,1
Gata,1
Tottie,1
Mein,1
Pang,1
88,1
Studio,1
Cheng,1
Vogue,1
Ha,1
Gardens,1
Choy,1
AAA,1
Honey,1
Exchange,1
Clever,1
N,1
Tien,1
Charleston,1
Wai,1
Neo,1
Yangtse,1
KTV,1
Ah,1
Victorian,1
Coin,1
Xing,1
Lanai,1
Of,1
Bund,1
Spring,1
Old,1
Shu,1
Gold,1
Yin,1
Edamame,1
Life,1
Seasons,1
Booming,1
Lily,1
MA,1
ChaCha,1
Phuong,1
Matthews,1
Lillie,1
Tsunami,1
Saigon,1
Fusia,1
III,1
Vege,1
Feng,1
Zhen,1
U-Like,1
Inc,1
Nan,1
Double,1
Rancho,1
Table,1
Miu,1
Everyday,1
Forbes,1
Mini,1
Katana,1
Wokee,1
Sai,1
Nihao,1
Akahana,1
Cafeteria,1
Dollar,1
Wei,1
Umai,1
Private,1
Palazzo,1
@,1
